date,price,timestamp,ema8,ema21,sma50,sma100,sma200,sma400,risk
2024-06-12,13.65999984741211,1718199000000,13.66,13.66,0.00,0.00,0.00,0.00,5.00
2024-06-13,14.300000190734863,1718285400000,13.69,13.67,0.00,0.00,0.00,0.00,5.00
2024-06-14,14.619999885559082,1718371800000,13.74,13.69,0.00,0.00,0.00,0.00,5.00
2024-06-17,15.579999923706055,1718631000000,13.83,13.73,0.00,0.00,0.00,0.00,5.00
2024-06-18,16.040000915527344,1718717400000,13.93,13.77,0.00,0.00,0.00,0.00,5.00
2024-06-20,20.31999969482422,1718890200000,14.25,13.89,0.00,0.00,0.00,0.00,5.00
2024-06-21,17.219999313354492,1718976600000,14.39,13.96,0.00,0.00,0.00,0.00,5.00
2024-06-24,18.6299991607666,1719235800000,14.60,14.04,0.00,0.00,0.00,0.00,5.00
2024-06-25,17,1719322200000,14.71,14.10,0.00,0.00,0.00,0.00,5.00
2024-06-26,16.729999542236328,1719408600000,14.81,14.15,0.00,0.00,0.00,0.00,5.00
2024-06-27,15.15999984741211,1719495000000,14.83,14.17,0.00,0.00,0.00,0.00,5.00
2024-06-28,15.369999885559082,1719581400000,14.86,14.19,0.00,0.00,0.00,0.00,5.00
2024-07-01,14.960000038146973,1719840600000,14.86,14.21,0.00,0.00,0.00,0.00,5.00
2024-07-02,15.050000190734863,1719927000000,14.87,14.22,0.00,0.00,0.00,0.00,5.00
2024-07-03,15.489999771118164,1720013400000,14.90,14.25,0.00,0.00,0.00,0.00,5.00
2024-07-05,15.199999809265137,1720186200000,14.92,14.26,0.00,0.00,0.00,0.00,5.00
2024-07-08,14.75,1720445400000,14.91,14.27,0.00,0.00,0.00,0.00,5.00
2024-07-09,14.015000343322754,1720531800000,14.86,14.27,0.00,0.00,0.00,0.00,5.00
2024-07-10,13.899999618530273,1720618200000,14.82,14.26,0.00,0.00,0.00,0.00,5.00
2024-07-11,14.569999694824219,1720704600000,14.80,14.27,0.00,0.00,0.00,0.00,5.00
2024-07-12,14.8100004196167,1720791000000,14.81,14.28,0.00,0.00,0.00,0.00,5.00
2024-07-15,15.59000015258789,1721050200000,14.84,14.30,0.00,0.00,0.00,0.00,5.00
2024-07-16,19.450000762939453,1721136600000,15.07,14.40,0.00,0.00,0.00,0.00,5.00
2024-07-17,19.81999969482422,1721223000000,15.30,14.50,0.00,0.00,0.00,0.00,5.00
2024-07-18,16.920000076293945,1721309400000,15.38,14.55,0.00,0.00,0.00,0.00,5.00
2024-07-19,16.579999923706055,1721395800000,15.44,14.59,0.00,0.00,0.00,0.00,5.00
2024-07-22,16.1299991607666,1721655000000,15.47,14.61,0.00,0.00,0.00,0.00,5.00
2024-07-23,15.329999923706055,1721741400000,15.46,14.63,0.00,0.00,0.00,0.00,5.00
2024-07-24,14.930000305175781,1721827800000,15.44,14.63,0.00,0.00,0.00,0.00,5.00
2024-07-25,15.845000267028809,1721914200000,15.46,14.66,0.00,0.00,0.00,0.00,5.00
2024-07-26,16.31999969482422,1722000600000,15.50,14.69,0.00,0.00,0.00,0.00,5.00
2024-07-29,15.4399995803833,1722259800000,15.50,14.70,0.00,0.00,0.00,0.00,5.00
2024-07-30,15.529999732971191,1722346200000,15.50,14.72,0.00,0.00,0.00,0.00,5.00
2024-07-31,15.380000114440918,1722432600000,15.49,14.73,0.00,0.00,0.00,0.00,5.00
2024-08-01,16.639999389648438,1722519000000,15.55,14.77,0.00,0.00,0.00,0.00,5.00
2024-08-02,16.59000015258789,1722605400000,15.60,14.80,0.00,0.00,0.00,0.00,5.00
2024-08-05,17.139999389648438,1722864600000,15.67,14.84,0.00,0.00,0.00,0.00,5.00
2024-08-06,17.049999237060547,1722951000000,15.74,14.89,0.00,0.00,0.00,0.00,5.00
2024-08-07,17.6200008392334,1723037400000,15.83,14.94,0.00,0.00,0.00,0.00,5.00
